"angle","stations","type","priceSd","price","count"
1.8,"200","uniform",0.0128491862750622,0.819585634418334,50
1.8,"200","linear",0.0899860346371626,1.09638235075497,50
1.8,"200","exponential",0.131354550935214,1.01514193573325,50
3.6,"100","uniform",0.00845685212932691,0.814155257422269,50
3.6,"100","linear",0.0757114082007511,1.14666915095727,50
3.6,"100","exponential",0.1306935932641,1.039753608308,50
3.6,"200","uniform",0.0132489338941486,0.822928577259249,50
3.6,"200","linear",0.0898449251545772,1.1064709529607,50
3.6,"200","exponential",0.187305925285348,0.995350111646834,50
5.4,"200","uniform",0.0105739604307221,0.821823240956998,50
5.4,"200","linear",0.0885236672628937,1.09867525885544,50
5.4,"200","exponential",0.141425247553302,1.03616803258298,50
7.2,"100","uniform",0.0105602591858468,0.813690495413573,50
7.2,"100","linear",0.103939758222141,1.14051180697876,50
7.2,"100","exponential",0.180142747086776,1.01594901125342,50
7.2,"200","uniform",0.0149111893264076,0.827380234164949,50
7.2,"200","linear",0.105527144008794,1.0764102792904,50
7.2,"200","exponential",0.169296198575714,1.03019576435228,50
9,"200","uniform",0.017088565376896,0.822158778309307,50
9,"200","linear",0.128566172445929,1.03093988266172,50
9,"200","exponential",0.118278855831501,1.05061036393369,50
10.8,"100","uniform",0.00962379897625765,0.812194030535851,50
10.8,"100","linear",0.0933009518142019,1.00703489542646,50
10.8,"100","exponential",0.20939212073919,1.01208389184364,50
10.8,"200","uniform",0.0123344722313909,0.820249234017094,50
10.8,"200","linear",0.131599760336225,0.987108169065158,50
10.8,"200","exponential",0.185997884950606,1.04760867451241,50
12.6,"200","uniform",0.0125957659815588,0.823209699156864,50
12.6,"200","linear",0.127790035789277,0.984521004152061,50
12.6,"200","exponential",0.129601547733493,1.04044310954452,50
14.4,"100","uniform",0.00938056334771049,0.81249566974282,50
14.4,"100","linear",0.0573209810384433,0.876194713995256,50
14.4,"100","exponential",0.12946544604926,0.989677091913776,50
14.4,"200","uniform",0.0130959044824387,0.822989606012509,50
14.4,"200","linear",0.0852630436559036,0.928843294450742,50
14.4,"200","exponential",0.133412213714715,0.985289411298862,50
16.2,"200","uniform",0.0156401354835644,0.823089242201738,50
16.2,"200","linear",0.080879980809816,0.894316723053299,50
16.2,"200","exponential",0.152928987769571,1.01645964209323,50
18,"100","uniform",0.00656536853817541,0.81294801933129,50
18,"100","linear",0.0395724221603253,0.846029032691566,50
18,"100","exponential",0.161298968348959,1.02621144582965,50
18,"200","uniform",0.0127791896890257,0.820202890575483,50
18,"200","linear",0.152073249103442,0.922881708567507,50
18,"200","exponential",0.150287020414762,1.03294460251499,50
19.8,"200","uniform",0.0164034778239996,0.822249550039255,50
19.8,"200","linear",0.059940085561161,0.889509917705023,50
19.8,"200","exponential",0.160799272752714,1.02219571016673,50
21.6,"100","uniform",0.00956586766204723,0.813431738653651,50
21.6,"100","linear",0.0337176345981446,0.846652472675189,50
21.6,"100","exponential",0.143621787650232,0.99075648439213,50
21.6,"200","uniform",0.0127748384219344,0.820305585196197,50
21.6,"200","linear",0.0566600719445299,0.872137019647945,50
21.6,"200","exponential",0.142779865143874,1.0188684641837,50
23.4,"200","uniform",0.0127687843913285,0.821327874284195,50
23.4,"200","linear",0.0429978759622386,0.879790059279615,50
23.4,"200","exponential",0.149352915409097,1.03441540427011,50
25.2,"100","uniform",0.00798981031756162,0.814883918421459,50
25.2,"100","linear",0.0223424056859211,0.84005706973241,50
25.2,"100","exponential",0.137776996823408,0.954794695189258,50
25.2,"200","uniform",0.01356284704222,0.823286375307915,50
25.2,"200","linear",0.0418109355598585,0.869593145127449,50
25.2,"200","exponential",0.166793333823901,1.0482371221622,50
27,"200","uniform",0.0150897807858282,0.822606389776753,50
27,"200","linear",0.0457286017155936,0.868218309049432,50
27,"200","exponential",0.145749649670592,1.02294416208435,50
28.8,"100","uniform",0.00950429654702811,0.810763918458009,50
28.8,"100","linear",0.0247523794183737,0.832151776167037,50
28.8,"100","exponential",0.14750147090049,1.02901027721556,50
28.8,"200","uniform",0.0132510793652001,0.8240490030724,50
28.8,"200","linear",0.0368969177581385,0.860517176455136,50
28.8,"200","exponential",0.145837682664817,1.05265437775365,50
30.6,"200","uniform",0.0133464590098596,0.822600856434328,50
30.6,"200","linear",0.0467398790581386,0.87034116586786,50
30.6,"200","exponential",0.135511816323805,0.98615604094787,50
32.4,"100","uniform",0.00947187326947689,0.812325797074014,50
32.4,"100","linear",0.0200289619500988,0.832059300021584,50
32.4,"100","exponential",0.145958583823798,1.00147587857887,50
32.4,"200","uniform",0.0156807053251776,0.821440749139258,50
32.4,"200","linear",0.0363661167551978,0.856956004389356,50
32.4,"200","exponential",0.208357510153719,1.05183288107874,50
34.2,"200","uniform",0.014092548196823,0.821530757372591,50
34.2,"200","linear",0.0318563825212985,0.847066351685872,50
34.2,"200","exponential",0.173379713978467,1.06390762859023,50
36,"100","uniform",0.00907836419687912,0.812657515788986,50
36,"100","linear",0.0178311039270127,0.82762512342861,50
36,"100","exponential",0.12692226742876,0.967481280631828,50
