"angle","price","type"
0.036,1,"exponential"
0.072,1.00000001821537,"exponential"
0.108,1.0000000364672,"exponential"
0.144,1.00000005475557,"exponential"
0.18,1.00000007308056,"exponential"
0.216,1.00000009144223,"exponential"
0.252,1.00000010984066,"exponential"
0.288,1.00000012827593,"exponential"
0.324,1.0000001467481,"exponential"
0.36,1.00000016525726,"exponential"
0.396,1.00000018380347,"exponential"
0.432,1.00000020238681,"exponential"
0.468,1.00000022100735,"exponential"
0.504,1.00000023966517,"exponential"
0.54,1.00000025836035,"exponential"
0.576,1.00000027709295,"exponential"
0.612,1.00000029586306,"exponential"
0.648,1.00000031467074,"exponential"
0.684,1.00000033351608,"exponential"
0.72,1.00000035239914,"exponential"
0.756,1.00000037132001,"exponential"
0.792,1.00000039027876,"exponential"
0.828,1.00000040927546,"exponential"
0.864,1.0000004283102,"exponential"
0.9,1.00000044738304,"exponential"
0.936,1.00000046649407,"exponential"
0.972,1.00000048564336,"exponential"
1.008,1.00000050483098,"exponential"
1.044,1.00000052405702,"exponential"
1.08,1.00000054332155,"exponential"
1.116,1.00000056262464,"exponential"
1.152,1.00000058196638,"exponential"
1.188,1.00000060134685,"exponential"
1.224,1.00000062076611,"exponential"
1.26,1.00000064022425,"exponential"
1.296,1.00000065972134,"exponential"
1.332,1.00000067925747,"exponential"
1.368,1.00000069883271,"exponential"
1.404,1.00000071844714,"exponential"
1.44,1.00000073810084,"exponential"
1.476,1.00000075779388,"exponential"
1.512,1.00000077752635,"exponential"
1.548,1.00000079729833,"exponential"
1.584,1.00000081710988,"exponential"
1.62,1.0000008369611,"exponential"
1.656,1.00000085685207,"exponential"
1.692,1.00000087678285,"exponential"
1.728,1.00000089675354,"exponential"
1.764,1.0000009167642,"exponential"
1.8,1.00000093681493,"exponential"
1.836,1.0000009569058,"exponential"
1.872,1.00000097703689,"exponential"
1.908,1.00000099720829,"exponential"
1.944,1.00000101742007,"exponential"
1.98,1.00000103767231,"exponential"
2.016,1.00000105796509,"exponential"
2.052,1.00000107829851,"exponential"
2.088,1.00000109867263,"exponential"
2.124,1.00000111908754,"exponential"
2.16,1.00000113954332,"exponential"
2.196,1.00000116004005,"exponential"
2.232,1.00000118057782,"exponential"
2.268,1.0000012011567,"exponential"
2.304,1.00000122177678,"exponential"
2.34,1.00000124243815,"exponential"
2.376,1.00000126314087,"exponential"
2.412,1.00000128388505,"exponential"
2.448,1.00000130467075,"exponential"
2.484,1.00000132549807,"exponential"
2.52,1.00000134636709,"exponential"
2.556,1.00000136727788,"exponential"
2.592,1.00000138823054,"exponential"
2.628,1.00000140922514,"exponential"
2.664,1.00000143026178,"exponential"
2.7,1.00000145134053,"exponential"
2.736,1.00000147246148,"exponential"
2.772,1.00000149362472,"exponential"
2.808,1.00000151483032,"exponential"
2.844,1.00000153607838,"exponential"
2.88,1.00000155736897,"exponential"
2.916,1.00000157870219,"exponential"
2.952,1.00000160007812,"exponential"
2.988,1.00000162149685,"exponential"
3.024,1.00000164295845,"exponential"
3.06,1.00000166446302,"exponential"
3.096,1.00000168601064,"exponential"
3.132,1.0000017076014,"exponential"
3.168,1.00000172923539,"exponential"
3.204,1.00000175091269,"exponential"
3.24,1.00000177263338,"exponential"
3.276,1.00000179439756,"exponential"
3.312,1.00000181620531,"exponential"
3.348,1.00000183805672,"exponential"
3.384,1.00000185995188,"exponential"
3.42,1.00000188189087,"exponential"
3.456,1.00000190387379,"exponential"
3.492,1.00000192590071,"exponential"
3.528,1.00000194797173,"exponential"
3.564,1.00000197008694,"exponential"
3.6,1.00000199224642,"exponential"
3.636,1.00000201445026,"exponential"
3.672,1.00000203669856,"exponential"
3.708,1.0000020589914,"exponential"
3.744,1.00000208132887,"exponential"
3.78,1.00000210371106,"exponential"
3.816,1.00000212613805,"exponential"
3.852,1.00000214860995,"exponential"
3.888,1.00000217112684,"exponential"
3.924,1.0000021936888,"exponential"
3.96,1.00000221629593,"exponential"
3.996,1.00000223894833,"exponential"
4.032,1.00000226164607,"exponential"
4.068,1.00000228438925,"exponential"
4.104,1.00000230717797,"exponential"
4.14,1.00000233001231,"exponential"
4.176,1.00000235289236,"exponential"
4.212,1.00000237581822,"exponential"
4.248,1.00000239878998,"exponential"
4.284,1.00000242180772,"exponential"
4.32,1.00000244487155,"exponential"
4.356,1.00000246798155,"exponential"
4.392,1.00000249113782,"exponential"
4.428,1.00000251434045,"exponential"
4.464,1.00000253758952,"exponential"
4.5,1.00000256088515,"exponential"
4.536,1.00000258422741,"exponential"
4.572,1.0000026076164,"exponential"
4.608,1.00000263105222,"exponential"
4.644,1.00000265453495,"exponential"
4.68,1.0000026780647,"exponential"
4.716,1.00000270164155,"exponential"
4.752,1.00000272526561,"exponential"
4.788,1.00000274893696,"exponential"
4.824,1.0000027726557,"exponential"
4.86,1.00000279642193,"exponential"
4.896,1.00000282023573,"exponential"
4.932,1.00000284409721,"exponential"
4.968,1.00000286800646,"exponential"
5.004,1.00000289196358,"exponential"
5.04,1.00000291596866,"exponential"
5.076,1.0000029400218,"exponential"
5.112,1.00000296412309,"exponential"
5.148,1.00000298827264,"exponential"
5.184,1.00000301247053,"exponential"
5.22,1.00000303671686,"exponential"
5.256,1.00000306101174,"exponential"
5.292,1.00000308535526,"exponential"
5.328,1.00000310974751,"exponential"
5.364,1.00000313418859,"exponential"
5.4,1.00000315867861,"exponential"
5.436,1.00000318321765,"exponential"
5.472,1.00000320780582,"exponential"
5.508,1.00000323244322,"exponential"
5.544,1.00000325712994,"exponential"
5.58,1.00000328186608,"exponential"
5.616,1.00000330665175,"exponential"
5.652,1.00000333148703,"exponential"
5.688,1.00000335637204,"exponential"
5.724,1.00000338130687,"exponential"
5.76,1.00000340629161,"exponential"
5.796,1.00000343132638,"exponential"
5.832,1.00000345641126,"exponential"
5.868,1.00000348154637,"exponential"
5.904,1.0000035067318,"exponential"
5.94,1.00000353196764,"exponential"
5.976,1.00000355725401,"exponential"
6.012,1.000003582591,"exponential"
6.048,1.00000360797872,"exponential"
6.084,1.00000363341727,"exponential"
6.12,1.00000365890674,"exponential"
6.156,1.00000368444724,"exponential"
6.192,1.00000371003887,"exponential"
6.228,1.00000373568174,"exponential"
6.264,1.00000376137594,"exponential"
6.3,1.00000378712159,"exponential"
6.336,1.00000381291878,"exponential"
6.372,1.00000383876761,"exponential"
6.408,1.00000386466819,"exponential"
6.444,1.00000389062063,"exponential"
6.48,1.00000391662502,"exponential"
6.516,1.00000394268148,"exponential"
6.552,1.0000039687901,"exponential"
6.588,1.00000399495098,"exponential"
6.624,1.00000402116425,"exponential"
6.66,1.00000404742999,"exponential"
6.696,1.00000407374831,"exponential"
6.732,1.00000410011933,"exponential"
6.768,1.00000412654314,"exponential"
6.804,1.00000415301985,"exponential"
6.84,1.00000417954957,"exponential"
6.876,1.00000420613239,"exponential"
6.912,1.00000423276844,"exponential"
6.948,1.00000425945782,"exponential"
6.984,1.00000428620062,"exponential"
7.02,1.00000431299697,"exponential"
7.056,1.00000433984696,"exponential"
7.092,1.0000043667507,"exponential"
7.128,1.00000439370831,"exponential"
7.164,1.00000442071988,"exponential"
7.2,1.00000444778553,"exponential"
7.236,1.00000447490537,"exponential"
7.272,1.0000045020795,"exponential"
7.308,1.00000452930804,"exponential"
7.344,1.00000455659109,"exponential"
7.38,1.00000458392875,"exponential"
7.416,1.00000461132115,"exponential"
7.452,1.00000463876839,"exponential"
7.488,1.00000466627057,"exponential"
7.524,1.00000469382782,"exponential"
7.56,1.00000472144023,"exponential"
7.596,1.00000474910793,"exponential"
7.632,1.00000477683101,"exponential"
7.668,1.0000048046096,"exponential"
7.704,1.0000048324438,"exponential"
7.74,1.00000486033372,"exponential"
7.776,1.00000488827948,"exponential"
7.812,1.00000491628119,"exponential"
7.848,1.00000494433896,"exponential"
7.884,1.0000049724529,"exponential"
7.92,1.00000500062312,"exponential"
7.956,1.00000502884974,"exponential"
7.992,1.00000505713287,"exponential"
8.028,1.00000508547262,"exponential"
8.064,1.00000511386911,"exponential"
8.1,1.00000514232245,"exponential"
8.136,1.00000517083275,"exponential"
8.172,1.00000519940013,"exponential"
8.208,1.0000052280247,"exponential"
8.244,1.00000525670658,"exponential"
8.28,1.00000528544587,"exponential"
8.316,1.00000531424271,"exponential"
8.352,1.0000053430972,"exponential"
8.388,1.00000537200945,"exponential"
8.424,1.00000540097958,"exponential"
8.46,1.00000543000772,"exponential"
8.496,1.00000545909397,"exponential"
8.532,1.00000548823844,"exponential"
8.568,1.00000551744127,"exponential"
8.604,1.00000554670256,"exponential"
8.64,1.00000557602243,"exponential"
8.676,1.000005605401,"exponential"
8.712,1.00000563483839,"exponential"
8.748,1.00000566433471,"exponential"
8.784,1.00000569389008,"exponential"
8.82,1.00000572350462,"exponential"
8.856,1.00000575317845,"exponential"
8.892,1.00000578291168,"exponential"
8.928,1.00000581270445,"exponential"
8.964,1.00000584255685,"exponential"
9,1.00000587246902,"exponential"
9.036,1.00000590244108,"exponential"
9.072,1.00000593247314,"exponential"
9.108,1.00000596256533,"exponential"
9.144,1.00000599271775,"exponential"
9.18,1.00000602293055,"exponential"
9.216,1.00000605320383,"exponential"
9.252,1.00000608353772,"exponential"
9.288,1.00000611393233,"exponential"
9.324,1.0000061443878,"exponential"
9.36,1.00000617490424,"exponential"
9.396,1.00000620548177,"exponential"
9.432,1.00000623612052,"exponential"
9.468,1.0000062668206,"exponential"
9.504,1.00000629758215,"exponential"
9.54,1.00000632840528,"exponential"
9.576,1.00000635929013,"exponential"
9.612,1.0000063902368,"exponential"
9.648,1.00000642124543,"exponential"
9.684,1.00000645231613,"exponential"
9.72,1.00000648344904,"exponential"
9.756,1.00000651464428,"exponential"
9.792,1.00000654590197,"exponential"
9.828,1.00000657722224,"exponential"
9.864,1.00000660860522,"exponential"
9.9,1.00000664005102,"exponential"
9.936,1.00000667155978,"exponential"
9.972,1.00000670313161,"exponential"
10.008,1.00000673476666,"exponential"
10.044,1.00000676646503,"exponential"
10.08,1.00000679822687,"exponential"
10.116,1.0000068300523,"exponential"
10.152,1.00000686194143,"exponential"
10.188,1.00000689389442,"exponential"
10.224,1.00000692591137,"exponential"
10.26,1.00000695799242,"exponential"
10.296,1.00000699013769,"exponential"
10.332,1.00000702234732,"exponential"
10.368,1.00000705462144,"exponential"
10.404,1.00000708696016,"exponential"
10.44,1.00000711936363,"exponential"
10.476,1.00000715183197,"exponential"
10.512,1.00000718436531,"exponential"
10.548,1.00000721696379,"exponential"
10.584,1.00000724962752,"exponential"
10.62,1.00000728235665,"exponential"
10.656,1.00000731515131,"exponential"
10.692,1.00000734801162,"exponential"
10.728,1.00000738093771,"exponential"
10.764,1.00000741392972,"exponential"
10.8,1.00000744698778,"exponential"
10.836,1.00000748011203,"exponential"
10.872,1.00000751330259,"exponential"
10.908,1.0000075465596,"exponential"
10.944,1.00000757988318,"exponential"
10.98,1.00000761327348,"exponential"
11.016,1.00000764673063,"exponential"
11.052,1.00000768025476,"exponential"
11.088,1.00000771384601,"exponential"
11.124,1.00000774750451,"exponential"
11.16,1.00000778123038,"exponential"
11.196,1.00000781502378,"exponential"
11.232,1.00000784888484,"exponential"
11.268,1.00000788281368,"exponential"
11.304,1.00000791681045,"exponential"
11.34,1.00000795087528,"exponential"
11.376,1.00000798500831,"exponential"
11.412,1.00000801920967,"exponential"
11.448,1.0000080534795,"exponential"
11.484,1.00000808781795,"exponential"
11.52,1.00000812222513,"exponential"
11.556,1.0000081567012,"exponential"
11.592,1.0000081912463,"exponential"
11.628,1.00000822586055,"exponential"
11.664,1.0000082605441,"exponential"
11.7,1.00000829529708,"exponential"
11.736,1.00000833011964,"exponential"
11.772,1.00000836501192,"exponential"
11.808,1.00000839997405,"exponential"
11.844,1.00000843500617,"exponential"
11.88,1.00000847010843,"exponential"
11.916,1.00000850528097,"exponential"
11.952,1.00000854052392,"exponential"
11.988,1.00000857583742,"exponential"
12.024,1.00000861122162,"exponential"
12.06,1.00000864667667,"exponential"
12.096,1.00000868220269,"exponential"
12.132,1.00000871779984,"exponential"
12.168,1.00000875346825,"exponential"
12.204,1.00000878920807,"exponential"
12.24,1.00000882501944,"exponential"
12.276,1.00000886090251,"exponential"
12.312,1.00000889685741,"exponential"
12.348,1.0000089328843,"exponential"
12.384,1.00000896898331,"exponential"
12.42,1.00000900515459,"exponential"
12.456,1.00000904139829,"exponential"
12.492,1.00000907771454,"exponential"
12.528,1.00000911410351,"exponential"
12.564,1.00000915056532,"exponential"
12.6,1.00000918710013,"exponential"
12.636,1.00000922370808,"exponential"
12.672,1.00000926038932,"exponential"
12.708,1.000009297144,"exponential"
12.744,1.00000933397226,"exponential"
12.78,1.00000937087425,"exponential"
12.816,1.00000940785012,"exponential"
12.852,1.00000944490001,"exponential"
12.888,1.00000948202408,"exponential"
12.924,1.00000951922247,"exponential"
12.96,1.00000955649533,"exponential"
12.996,1.00000959384281,"exponential"
13.032,1.00000963126506,"exponential"
13.068,1.00000966876223,"exponential"
13.104,1.00000970633447,"exponential"
13.14,1.00000974398193,"exponential"
13.176,1.00000978170476,"exponential"
13.212,1.00000981950311,"exponential"
13.248,1.00000985737714,"exponential"
13.284,1.00000989532699,"exponential"
13.32,1.00000993335281,"exponential"
13.356,1.00000997145476,"exponential"
13.392,1.00001000963299,"exponential"
13.428,1.00001004788765,"exponential"
13.464,1.0000100862189,"exponential"
13.5,1.00001012462689,"exponential"
13.536,1.00001016311178,"exponential"
13.572,1.0000102016737,"exponential"
13.608,1.00001024031283,"exponential"
13.644,1.00001027902932,"exponential"
13.68,1.00001031782331,"exponential"
13.716,1.00001035669498,"exponential"
13.752,1.00001039564446,"exponential"
13.788,1.00001043467192,"exponential"
13.824,1.00001047377751,"exponential"
13.86,1.00001051296139,"exponential"
13.896,1.00001055222372,"exponential"
13.932,1.00001059156465,"exponential"
13.968,1.00001063098434,"exponential"
14.004,1.00001067048295,"exponential"
14.04,1.00001071006064,"exponential"
14.076,1.00001074971756,"exponential"
14.112,1.00001078945387,"exponential"
14.148,1.00001082926974,"exponential"
14.184,1.00001086916532,"exponential"
14.22,1.00001090914077,"exponential"
14.256,1.00001094919625,"exponential"
14.292,1.00001098933192,"exponential"
14.328,1.00001102954794,"exponential"
14.364,1.00001106984448,"exponential"
14.4,1.00001111022168,"exponential"
14.436,1.00001115067973,"exponential"
14.472,1.00001119121877,"exponential"
14.508,1.00001123183897,"exponential"
14.544,1.00001127254049,"exponential"
14.58,1.0000113133235,"exponential"
14.616,1.00001135418815,"exponential"
14.652,1.00001139513462,"exponential"
14.688,1.00001143616306,"exponential"
14.724,1.00001147727364,"exponential"
14.76,1.00001151846652,"exponential"
14.796,1.00001155974187,"exponential"
14.832,1.00001160109985,"exponential"
14.868,1.00001164254064,"exponential"
14.904,1.00001168406438,"exponential"
14.94,1.00001172567126,"exponential"
14.976,1.00001176736143,"exponential"
15.012,1.00001180913507,"exponential"
15.048,1.00001185099234,"exponential"
15.084,1.00001189293341,"exponential"
15.12,1.00001193495844,"exponential"
15.156,1.00001197706761,"exponential"
15.192,1.00001201926108,"exponential"
15.228,1.00001206153903,"exponential"
15.264,1.00001210390161,"exponential"
15.3,1.000012146349,"exponential"
15.336,1.00001218888137,"exponential"
15.372,1.00001223149889,"exponential"
15.408,1.00001227420174,"exponential"
15.444,1.00001231699007,"exponential"
15.48,1.00001235986407,"exponential"
15.516,1.0000124028239,"exponential"
15.552,1.00001244586973,"exponential"
15.588,1.00001248900174,"exponential"
15.624,1.00001253222011,"exponential"
15.66,1.00001257552499,"exponential"
15.696,1.00001261891658,"exponential"
15.732,1.00001266239503,"exponential"
15.768,1.00001270596053,"exponential"
15.804,1.00001274961324,"exponential"
15.84,1.00001279335335,"exponential"
15.876,1.00001283718103,"exponential"
15.912,1.00001288109645,"exponential"
15.948,1.00001292509978,"exponential"
15.984,1.00001296919122,"exponential"
16.02,1.00001301337092,"exponential"
16.056,1.00001305763907,"exponential"
16.092,1.00001310199585,"exponential"
16.128,1.00001314644142,"exponential"
16.164,1.00001319097598,"exponential"
16.2,1.0000132355997,"exponential"
16.236,1.00001328031275,"exponential"
16.272,1.00001332511532,"exponential"
16.308,1.00001337000759,"exponential"
16.344,1.00001341498972,"exponential"
16.38,1.00001346006192,"exponential"
16.416,1.00001350522434,"exponential"
16.452,1.00001355047719,"exponential"
16.488,1.00001359582063,"exponential"
16.524,1.00001364125484,"exponential"
