model;aic;r2
price~income;3001.67267642158;0.24317873428905
price~jobs;3032.17594394971;0.23504990436786
price~wage;3017.18944298683;0.239465232457495
price~population;3020.56444735081;0.237761560243174
price~percapjobs;2938.3911215065;0.25898369443061
price~income+jobs;3004.56925602763;0.239847795022472
price~income+wage;3008.82603366292;0.244263183756291
price~income+population;2995.50402862253;0.241839293194365
price~income+percapjobs;2904.74302697946;0.28538604171372
price~jobs+wage;3034.29872529876;0.253894026751647
price~jobs+population;3087.61349799697;0.216079263884865
price~jobs+percapjobs;2927.65145240475;0.279067228074684
price~wage+population;3030.92534537069;0.233396371784455
price~wage+percapjobs;2926.28088930529;0.265872286223263
price~population+percapjobs;2923.60136898583;0.279914739863451
price~income+jobs+wage;3022.7417600201;0.247840878607909
price~income+jobs+population;3050.17184714269;0.227197825024221
price~income+jobs+percapjobs;2928.41273406248;0.279657424563986
price~income+wage+population;3013.30959944311;0.249941201623408
price~income+wage+percapjobs;2926.6347867598;0.275581394736346
price~income+population+percapjobs;2924.79296052934;0.28034645295296
price~jobs+wage+population;3084.75342876876;0.21860407929774
price~jobs+wage+percapjobs;2936.90069781038;0.268219666018274
price~jobs+population+percapjobs;2979.11896044332;0.25642191901688
price~wage+population+percapjobs;2931.79109503492;0.269293816108471
price~income+jobs+wage+population;3059.86400753305;0.232800225997191
price~income+jobs+wage+percapjobs;2950.98709753403;0.27733729703405
price~income+jobs+population+percapjobs;2970.32394638872;0.270686046376638
price~income+wage+population+percapjobs;2946.05780438032;0.278346257512192
price~jobs+wage+population+percapjobs;2977.43323554857;0.253930678099906
price~income+jobs+wage+population+percapjobs;2981.88508975191;0.262532051208852
