GEOID;name;income;jobs;wage;population;percapjobs;price;Intercept;income.1;wage.1;percapjobs.1;residual;Local_R2
01005;Barbour;23764;14154;29127;29836;0.474393;2.06257293003872;1.95245186808308;3.43161107771149e-06;-3.69699479922807e-06;0.39819154231451;-0.0526446565111822;0.157444748964524
01023;Choctaw;26763;5466;41409;14083;0.388128;2.19604016354016;2.10093387970383;-3.1287182876937e-06;3.396610775495e-06;-0.0188906614797862;0.0455219104262357;0.344696539072409
01035;Conecuh;26981;5768;30507;13038;0.442399;2.13352353507518;2.0509783842651;-2.39229054452573e-06;2.93492123602512e-06;0.118597554879822;0.00508846016322995;0.209003353759304
01051;Elmore;31043;28291;30083;78125;0.362125;2.0592144932238;2.04181266934141;-1.34483273520896e-06;5.15818442355375e-07;0.188479989741427;-0.0246212160050092;0.237275012262982
01065;Hale;25431;5664;29332;18083;0.313222;2.05768115034293;2.1933508270484;-5.63680679225719e-06;2.00573996708432e-06;0.0212337753522285;-0.0578032934694757;0.479675618064565
01109;Pike;32889;18991;30661;30371;0.6253;2.0175676691622;2.01335338875486;-3.52661955675242e-07;-5.34136306782072e-07;0.290219174702857;-0.149283917171901;0.173214863239882
01113;Russell;28548;17678;31354;50285;0.351556;2.06775930466602;1.92370822883383;4.56963966533471e-06;-2.4570528771038e-06;0.315635348797887;-0.0203280621070676;0.160381420001239
01117;Shelby;44658;98884;43294;188483;0.524631;2.0192748218179;2.0993213052756;-3.09014954012054e-06;1.94038989089266e-06;0.0545983012040772;-0.0546977865902996;0.420289112555281
04015;Mohave;26197;71828;33226;195601;0.367217;2.31137605372878;2.08436401353048;-6.81126605760568e-07;1.25152965374025e-05;-0.194709407255819;-0.0994771244580641;0.405169123730099
05011;Bradley;26788;5409;27231;11899;0.454576;2.17181818181818;1.87900537156249;-5.28480157881944e-07;7.87355105131745e-06;-0.0322850222328014;0.107241064313107;0.231802925024544
05015;Carroll;26037;15495;25982;27486;0.563742;2.11144610365635;2.12642592076284;3.16982809929126e-06;-4.27015246291822e-06;-1.46140526870946e-05;0.0134427085190918;0.859231583936423
05019;Clark;27849;13529;28146;23883;0.56647;2.07174965295794;2.14841025447899;-2.19505662810194e-06;1.10316063577772e-06;-0.0148354032250637;-0.03817621787474;0.428928149298144
05025;Cleveland;31885;2005;25315;8597;0.233221;2.19;1.97109195801525;-1.24852056317139e-06;5.64946619149235e-06;-0.0181152472685038;0.119925739587053;0.259278482979711
05063;Independence;32093;21435;30869;34508;0.62116;2.1585398514259;2.1531984995024;2.31358293489542e-06;-4.11997066566074e-06;0.016445593449855;0.0480555644448706;0.617601368159624
05067;Jackson;31304;8505;29806;16811;0.505919;2.05704349921083;2.14851163582386;8.60038731186323e-07;-2.68995450522168e-06;0.0261873933559306;-0.0514627049306884;0.551005061616731
