"rho","day","decay"
0.000115556977970773,20170110,1
0.000105496800449729,20170111,1
0.000116394430164672,20170112,1
0.000100840264163811,20170113,1
9.50237632956454e-05,20170114,1
8.95746204969752e-05,20170115,1
9.3642681433478e-05,20170116,1
9.6929392342309e-05,20170117,1
9.95027961192483e-05,20170118,1
7.98557198582027e-05,20170119,1
9.16999563053871e-05,20170120,1
0.000103782357631647,20170121,1
8.79287874053244e-05,20170122,1
7.93003209569081e-05,20170123,1
8.58289727924064e-05,20170124,1
0.000104782590462154,20170125,1
9.0578593370898e-05,20170128,1
9.05804749339085e-05,20170129,1
7.99079675637736e-05,20170130,1
8.90935951193916e-05,20170131,1
9.59946036130112e-05,20170201,1
8.32314089691924e-05,20170202,1
8.2938443568879e-05,20170203,1
8.28767943692628e-05,20170204,1
8.70296431438507e-05,20170205,1
8.86235711463677e-05,20170206,1
8.97615841999025e-05,20170207,1
9.28981791376424e-05,20170208,1
0.000100515249149009,20170209,1
8.23986707560165e-05,20170210,1
8.49177705858182e-05,20170211,1
9.36687163029853e-05,20170212,1
8.49704902394442e-05,20170213,1
8.72600150499572e-05,20170214,1
8.77045077628429e-05,20170215,1
0.00010285076135672,20170216,1
9.30399290825557e-05,20170217,1
9.51131416563884e-05,20170218,1
8.01452351499919e-05,20170219,1
7.81913808926634e-05,20170220,1
8.82040791820319e-05,20170221,1
0.000104895019323737,20170222,1
9.85943521253696e-05,20170223,1
9.6680808236624e-05,20170224,1
0.00010431809940943,20170225,1
7.54907614318679e-05,20170226,1
9.19730117681785e-05,20170227,1
0.000102905546999967,20170228,1
0.000109365017378038,20170307,1
9.50751784684022e-05,20170308,1
8.08958052590089e-05,20170309,1
8.58611337494532e-05,20170310,1
8.99934998017454e-05,20170311,1
8.12045884946472e-05,20170312,1
8.73590074322248e-05,20170313,1
9.72362840465868e-05,20170314,1
8.05111479615433e-05,20170315,1
8.93768064327915e-05,20170316,1
9.82704743504314e-05,20170317,1
7.80947746812745e-05,20170318,1
8.54613348315567e-05,20170319,1
0.000107413338761882,20170110,10
9.74687742303944e-05,20170111,10
0.000106147444294963,20170112,10
9.59811904065453e-05,20170113,10
8.91493516976559e-05,20170114,10
8.86769217838523e-05,20170115,10
9.24181776612873e-05,20170116,10
9.54000494641519e-05,20170117,10
9.73500889385186e-05,20170118,10
8.29732668253588e-05,20170119,10
9.12707829929131e-05,20170120,10
9.82569593299032e-05,20170121,10
8.91978632446902e-05,20170122,10
8.30707789441707e-05,20170123,10
8.56551470683769e-05,20170124,10
0.000101128269979174,20170125,10
8.93802773822172e-05,20170128,10
8.80896202197128e-05,20170129,10
7.8886852597642e-05,20170130,10
8.66568812882461e-05,20170131,10
9.10294123618107e-05,20170201,10
8.3453485447903e-05,20170202,10
8.33077929371345e-05,20170203,10
8.40436121271176e-05,20170204,10
8.33656994335224e-05,20170205,10
8.87716537899269e-05,20170206,10
9.03957974955651e-05,20170207,10
9.23302638062023e-05,20170208,10
9.47294367581688e-05,20170209,10
8.30993567802794e-05,20170210,10
8.49719442509524e-05,20170211,10
8.85168729190489e-05,20170212,10
8.25670270121078e-05,20170213,10
8.71918724290622e-05,20170214,10
8.44343473430406e-05,20170215,10
9.81578341686742e-05,20170216,10
9.44457523148887e-05,20170217,10
9.16450622436458e-05,20170218,10
7.8293691499403e-05,20170219,10
8.05690827662634e-05,20170220,10
