"rho","day","decay"
8.5695304316326e-05,20170221,10
0.000100747388720539,20170222,10
9.62779259127231e-05,20170223,10
9.61858393493965e-05,20170224,10
9.87753424903253e-05,20170225,10
7.83508952926476e-05,20170226,10
8.91315212509554e-05,20170227,10
9.79575584768492e-05,20170228,10
0.000105139192869819,20170307,10
9.06106247668864e-05,20170308,10
8.15159540302003e-05,20170309,10
8.79279805508258e-05,20170310,10
8.49849074566136e-05,20170311,10
7.69510250355962e-05,20170312,10
8.36829615877046e-05,20170313,10
9.24617559254187e-05,20170314,10
7.88293523113921e-05,20170315,10
8.29916499042324e-05,20170316,10
9.0705349521679e-05,20170317,10
7.5559646333577e-05,20170318,10
8.49590882260039e-05,20170319,10
7.05809120323004e-05,20170110,100
6.64580579426486e-05,20170111,100
6.75430969477036e-05,20170112,100
6.89566521374235e-05,20170113,100
6.40236810545714e-05,20170114,100
6.32172601545827e-05,20170115,100
6.76141250960908e-05,20170116,100
6.55166813574495e-05,20170117,100
6.73978881790279e-05,20170118,100
6.30061476776648e-05,20170119,100
6.47321800633776e-05,20170120,100
6.61775339339614e-05,20170121,100
6.2234770588059e-05,20170122,100
6.35521187940889e-05,20170123,100
6.34140485786997e-05,20170124,100
6.83151404240286e-05,20170125,100
5.85054246046044e-05,20170128,100
6.46384140338261e-05,20170129,100
6.41450456133724e-05,20170130,100
6.21174003508138e-05,20170131,100
6.28776635553867e-05,20170201,100
6.14701792805982e-05,20170202,100
6.01005082969101e-05,20170203,100
5.90599470686491e-05,20170204,100
6.12430503658942e-05,20170205,100
6.8066939640301e-05,20170206,100
6.59413779290093e-05,20170207,100
6.40721957878846e-05,20170208,100
6.60890006391754e-05,20170209,100
6.08435247541907e-05,20170210,100
6.65166824843227e-05,20170211,100
6.11746117048595e-05,20170212,100
6.13481874966103e-05,20170213,100
6.05278710397343e-05,20170214,100
6.3565542480605e-05,20170215,100
6.74764342862018e-05,20170216,100
6.57659424684668e-05,20170217,100
6.39317517601177e-05,20170218,100
5.75872967536233e-05,20170219,100
5.45874954958151e-05,20170220,100
5.78884428103839e-05,20170221,100
7.19960187517218e-05,20170222,100
6.74186250346835e-05,20170223,100
6.58150423369561e-05,20170224,100
6.88687087019765e-05,20170225,100
6.20278497115876e-05,20170226,100
6.3283949230922e-05,20170227,100
6.75695595023322e-05,20170228,100
7.41986861443384e-05,20170307,100
6.90653844740647e-05,20170308,100
6.52020220030681e-05,20170309,100
6.49914207291373e-05,20170310,100
6.53733464255813e-05,20170311,100
5.52045182059865e-05,20170312,100
5.69097653521744e-05,20170313,100
6.22878463767844e-05,20170314,100
5.36776771014007e-05,20170315,100
5.48005195418723e-05,20170316,100
6.01798797691577e-05,20170317,100
5.98021467790375e-05,20170318,100
6.17029495293149e-05,20170319,100
1.31906704236834e-05,20170110,1000
1.20307356941842e-05,20170111,1000
1.24243064637511e-05,20170112,1000
1.27532636138418e-05,20170113,1000
1.17237268149375e-05,20170114,1000
1.13217488139641e-05,20170115,1000
1.19887593745963e-05,20170116,1000
1.1280212446342e-05,20170117,1000
1.15337526191551e-05,20170118,1000
1.09003549769956e-05,20170119,1000
1.10653521668403e-05,20170120,1000
1.13368461671583e-05,20170121,1000
1.01591060798755e-05,20170122,1000
1.10938381791116e-05,20170123,1000
1.07025152444143e-05,20170124,1000
1.3024031163697e-05,20170125,1000
9.38127780432439e-06,20170128,1000
9.87554301891507e-06,20170129,1000
1.04230921634403e-05,20170130,1000
1.04307748946159e-05,20170131,1000
1.01505586909906e-05,20170201,1000
9.99216742331156e-06,20170202,1000
9.84415723618799e-06,20170203,1000
9.19263330840973e-06,20170204,1000
9.03876174023494e-06,20170205,1000
1.11391049813687e-05,20170206,1000
1.06409423173179e-05,20170207,1000
1.06798192220129e-05,20170208,1000
1.09426829816392e-05,20170209,1000
9.92608912028756e-06,20170210,1000
1.07731334452913e-05,20170211,1000
9.29177292651085e-06,20170212,1000
9.22152172955006e-06,20170213,1000
1.03079726207319e-05,20170214,1000
1.06789465490769e-05,20170215,1000
1.08575164275621e-05,20170216,1000
1.02016348503856e-05,20170217,1000
1.00805536123719e-05,20170218,1000
8.8339816061113e-06,20170219,1000
8.62159848025022e-06,20170220,1000
9.73026589306475e-06,20170221,1000
1.11854628906974e-05,20170222,1000
1.05924634954529e-05,20170223,1000
1.05699520715245e-05,20170224,1000
1.08900172953031e-05,20170225,1000
9.58145501004422e-06,20170226,1000
1.04859207203667e-05,20170227,1000
1.19182351149219e-05,20170228,1000
1.16659511710866e-05,20170307,1000
1.08780158543767e-05,20170308,1000
1.05384670463412e-05,20170309,1000
9.95710954784851e-06,20170310,1000
1.00260051492128e-05,20170311,1000
7.69349934196719e-06,20170312,1000
7.79465882898015e-06,20170313,1000
7.94341323466662e-06,20170314,1000
7.02091693664869e-06,20170315,1000
7.10908778280179e-06,20170316,1000
8.00367401497996e-06,20170317,1000
7.86103115035363e-06,20170318,1000
9.11635561822469e-06,20170319,1000
