"rho","week","decay"
0.000104221892396615,20170110,1
0.000100429806791123,20170118,1
9.32965310339727e-05,20170128,1
9.2373715938505e-05,20170205,1
8.27017463693459e-05,20170213,1
0.000109078038570463,20170221,1
8.79940635690229e-05,20170307,1
8.13169994732924e-05,20170315,1
0.000103652084132243,20170110,1.58489319246111
0.000100996696202891,20170118,1.58489319246111
9.21255021280885e-05,20170128,1.58489319246111
9.20531267605666e-05,20170205,1.58489319246111
8.26601315085752e-05,20170213,1.58489319246111
0.000109330674229761,20170221,1.58489319246111
8.79680610021457e-05,20170307,1.58489319246111
8.13296248586859e-05,20170315,1.58489319246111
0.000102350491420047,20170110,2.51188643150958
0.000101563223833944,20170118,2.51188643150958
9.02114219319132e-05,20170128,2.51188643150958
9.12780110519923e-05,20170205,2.51188643150958
8.23477760963023e-05,20170213,2.51188643150958
0.000109103712898879,20170221,2.51188643150958
8.7317547200192e-05,20170307,2.51188643150958
8.11492739654019e-05,20170315,2.51188643150958
0.000100072689839405,20170110,3.98107170553497
0.00010192423669474,20170118,3.98107170553497
8.80175781910452e-05,20170128,3.98107170553497
8.9795023360217e-05,20170205,3.98107170553497
8.16776601825509e-05,20170213,3.98107170553497
0.000107977378137365,20170221,3.98107170553497
8.62071438251216e-05,20170307,3.98107170553497
8.07835494646391e-05,20170315,3.98107170553497
9.70181174581531e-05,20170110,6.30957344480193
0.00010164189873495,20170118,6.30957344480193
8.59170583000275e-05,20170128,6.30957344480193
8.73814229295563e-05,20170205,6.30957344480193
8.06061981789775e-05,20170213,6.30957344480193
0.000105615298235703,20170221,6.30957344480193
8.48540300812539e-05,20170307,6.30957344480193
8.02976509638592e-05,20170315,6.30957344480193
9.32857999413151e-05,20170110,10
9.98764282609841e-05,20170118,10
8.36904690514608e-05,20170128,10
8.41902952687035e-05,20170205,10
7.90012564943434e-05,20170213,10
0.000101834868482732,20170221,10
8.28548741255002e-05,20170307,10
7.9491699506319e-05,20170315,10
8.8217837132511e-05,20170110,15.8489319246111
9.58900004868725e-05,20170118,15.8489319246111
8.09749024318333e-05,20170128,15.8489319246111
8.04858840917718e-05,20170205,15.8489319246111
7.65964232160922e-05,20170213,15.8489319246111
9.63895882090797e-05,20170221,15.8489319246111
8.03419627467099e-05,20170307,15.8489319246111
7.80762067412885e-05,20170315,15.8489319246111
8.14207956329219e-05,20170110,25.1188643150958
8.97791759893577e-05,20170118,25.1188643150958
7.76052577305477e-05,20170128,25.1188643150958
7.62525770326296e-05,20170205,25.1188643150958
7.31366045782412e-05,20170213,25.1188643150958
8.9506898922709e-05,20170221,25.1188643150958
7.76895764247996e-05,20170307,25.1188643150958
7.58786678843981e-05,20170315,25.1188643150958
7.41653332549007e-05,20170110,39.8107170553497
8.24304777205533e-05,20170118,39.8107170553497
7.31526161599396e-05,20170128,39.8107170553497
7.14084075864883e-05,20170205,39.8107170553497
6.86904531151345e-05,20170213,39.8107170553497
8.20294917457398e-05,20170221,39.8107170553497
7.42026859858998e-05,20170307,39.8107170553497
7.25769488143035e-05,20170315,39.8107170553497
6.71188121487172e-05,20170110,63.0957344480193
7.43692258574092e-05,20170118,63.0957344480193
6.71798526885436e-05,20170128,63.0957344480193
6.55812506273928e-05,20170205,63.0957344480193
6.31764622396469e-05,20170213,63.0957344480193
7.39348023060361e-05,20170221,63.0957344480193
6.87127315292081e-05,20170307,63.0957344480193
6.7261962101333e-05,20170315,63.0957344480193
5.9295160513412e-05,20170110,100
6.49339334943014e-05,20170118,100
5.92006399546476e-05,20170128,100
5.80879906191515e-05,20170205,100
5.60140478034079e-05,20170213,100
6.45041962432815e-05,20170221,100
6.06769753299352e-05,20170307,100
5.96047079815992e-05,20170315,100
4.9788071408989e-05,20170110,158.489319246111
5.3530734060032e-05,20170118,158.489319246111
4.90396952967067e-05,20170128,158.489319246111
4.85841467408186e-05,20170205,158.489319246111
4.68629705915215e-05,20170213,158.489319246111
5.34663105657732e-05,20170221,158.489319246111
5.03824205165538e-05,20170307,158.489319246111
4.99762905649521e-05,20170315,158.489319246111
3.8832207476084e-05,20170110,251.188643150958
4.07709029989816e-05,20170118,251.188643150958
3.75503604568247e-05,20170128,251.188643150958
3.75892398666947e-05,20170205,251.188643150958
3.63364342108613e-05,20170213,251.188643150958
4.13269289054901e-05,20170221,251.188643150958
3.87320402893871e-05,20170307,251.188643150958
3.88214217975699e-05,20170315,251.188643150958
2.7281069383611e-05,20170110,398.107170553497
2.79277430396532e-05,20170118,398.107170553497
2.58464284285915e-05,20170128,398.107170553497
2.59752703536475e-05,20170205,398.107170553497
2.52694365731071e-05,20170213,398.107170553497
2.8683361039311e-05,20170221,398.107170553497
2.65687364604388e-05,20170307,398.107170553497
2.66791288323953e-05,20170315,398.107170553497
1.68058463859411e-05,20170110,630.957344480194
1.67967044347996e-05,20170118,630.957344480194
1.54653428013198e-05,20170128,630.957344480194
1.54404181640701e-05,20170205,630.957344480194
1.51458455145595e-05,20170213,630.957344480194
1.70916681991999e-05,20170221,630.957344480194
1.54662491196126e-05,20170307,630.957344480194
1.54228856371145e-05,20170315,630.957344480194
9.49371025343413e-06,20170110,1000
9.28281386455138e-06,20170118,1000
8.39848523417994e-06,20170128,1000
8.26066501175428e-06,20170205,1000
8.16540338975971e-06,20170213,1000
9.11977749202448e-06,20170221,1000
7.96595314208121e-06,20170307,1000
7.87341016424004e-06,20170315,1000
5.28737906827645e-06,20170110,1584.89319246111
5.07910802032024e-06,20170118,1584.89319246111
4.49815951369782e-06,20170128,1584.89319246111
4.35011814452682e-06,20170205,1584.89319246111
4.32795281241297e-06,20170213,1584.89319246111
4.78178011747064e-06,20170221,1584.89319246111
4.03158703035013e-06,20170307,1584.89319246111
3.95698124014264e-06,20170315,1584.89319246111
2.98589112203735e-06,20170110,2511.88643150958
2.83085198404011e-06,20170118,2511.88643150958
2.45900519956591e-06,20170128,2511.88643150958
2.34251040443181e-06,20170205,2511.88643150958
2.34309056466302e-06,20170213,2511.88643150958
2.56804307813473e-06,20170221,2511.88643150958
2.10488753387204e-06,20170307,2511.88643150958
2.05524723908301e-06,20170315,2511.88643150958
1.71003308511559e-06,20170110,3981.07170553497
1.60513635579073e-06,20170118,3981.07170553497
1.37060201881433e-06,20170128,3981.07170553497
1.28898470216239e-06,20170205,3981.07170553497
1.29492674878824e-06,20170213,3981.07170553497
1.41316468458824e-06,20170221,3981.07170553497
1.13196897409866e-06,20170307,3981.07170553497
1.10051393531461e-06,20170315,3981.07170553497
9.83536324070383e-07,20170110,6309.57344480194
9.15222755890064e-07,20170118,6309.57344480194
